Ecell/V	<I>/mA	Capacity/mA.h	cycle number	time/s	
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.680000079795718E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.690000080270693E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.700000080745667E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.710000081220642E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.720000081695616E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.730000082170591E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.740000082645565E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.750000083120540E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.760000083595514E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.770000084070489E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.780000084545463E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.790000085020438E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.800000085495412E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.810000085970387E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.820000086445361E+002
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.830000086920336E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.840000087395310E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.850000087870285E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.860000088345259E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.870000088820234E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.880000089295208E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.890000089770183E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.900000090245157E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.910000090720132E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.920000091195107E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.930000091670081E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.940000092145056E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.950000092620030E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.960000093095005E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.970000093569979E+002
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.980000094044954E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.990000094519928E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.000000094994903E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.010000095469877E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.020000095944852E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.030000096419826E+002
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.040000096894801E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.050000097369775E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.060000097844750E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.070000098319724E+002
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.080000098794699E+002
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.090000099269673E+002
